restraunt_name,location,contact,dining_ratings,delivery_ratings,menu_name,menu_description,menu_price,menu_rating
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,Potato Chilli Cheese,"Hot toasted sub loaded with 1.5x potato patty and real mozz cheese, topped ...",289.0,-1
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,Cheesy Paneer Tikka,"Double the paneer, with real mozz cheese. Indulge in hot cheesy paneer melt ...",309.0,4.2
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,Cheesy Mexican,"Hot and cheesy toasted sub with 1.5x chili bean patty, real mozz cheese, ...",309.0,-1
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,Cheesy Chicken Tikka,"Double the chicken, with real mozz cheese. Indulge in hot cheesy chicken tikka ...",339.0,-1
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,Cheesy American BBQ,"Hot toasted sub loaded with 1.5x filling and real mozz cheese, topped with ...",329.0,-1
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,Egg'n Chicken Melt,Hot toasted sub with a generous 1.5x filling of delicious egg and chicken ...,309.0,-1
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,Chicken Keema Melt,"Hot and cheesy toasted sub with 1.5x chicken keema, real mozz cheese, onion, ...",309.0,-1
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,Cheesy Lamb Pepperoni,"Hot toasted sub filled with 1.5x lamb pepperoni (100% NZ quality), real mozz ...",349.0,-1
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,Veg Subs + Side + Coke (Save upto Rs199),"Enjoy a veg Create Your Own sub of your choice, with your favourite ...",359.0,-1
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,Non-Veg Subs + Side + Coke (Save upto Rs155),"Enjoy any non-veg sub of your choice, with your favourite drink and a ...",379.0,-1
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,2 Veg Subs + Coke (Save upto Rs169),Combo of two freshly made veg subs of your choice with a drink. ...,439.0,-1
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,2 Veg Premium Subs + Coke (Save upto Rs179),Combo of two freshly made veg subs of your choice from our premium ...,489.0,-1
Subway,"Phagwara Locality, Phagwara",7307070606,3.9,4.1,Any 2 Veg/Non-Veg Subs + Coke (Save upto Rs200),Combo of any two freshly made veg/non-veg subs of your choice with a ...,539.0,-1
